threshold,pip_profit,sharpe,winrate,drawdown,fees,trades_n
0.0,704.1,0.0036,27.79,0,2124.0,1416.0
0.0075,691.6,0.00354,27.53,0,2106.0,1404.0
0.015,520.9,0.00267,27.5,0,2103.0,1402.0
0.0225,611.4,0.00314,27.57,0,2092.5,1395.0
0.03,669.5,0.00345,27.85,0,2065.5,1377.0
0.0375,543.2,0.00281,28.01,0,2059.5,1373.0
0.045,479.2,0.00248,28.35,0,2061.0,1374.0
0.0525,336.1,0.00175,28.27,0,2067.0,1378.0
0.06,454.6,0.00237,28.54,0,2047.5,1365.0
0.0675,393.0,0.00205,28.33,0,2052.0,1368.0
0.075,452.6,0.00236,28.74,0,2049.0,1366.0
0.0825,419.9,0.0022,28.91,0,2047.5,1365.0
0.09,605.7,0.00318,28.99,0,2031.0,1354.0
0.0975,625.3,0.00329,29.03,0,2023.5,1349.0
0.105,705.7,0.00372,29.02,0,2019.0,1346.0
0.1125,851.8,0.0045,29.54,0,2004.0,1336.0
0.12,962.9,0.00509,29.8,0,1996.5,1331.0
0.1275,972.8,0.00516,29.67,0,1995.0,1330.0
0.135,1013.6,0.00538,29.98,0,1989.0,1326.0
0.1425,984.9,0.00524,29.58,0,1975.5,1317.0
0.15,1083.1,0.00579,29.47,0,1957.5,1305.0
0.1575,1040.5,0.00557,29.14,0,1948.5,1299.0
0.165,989.4,0.00531,28.88,0,1947.0,1298.0
0.1725,922.7,0.00496,29.38,0,1954.5,1303.0
0.18,840.0,0.00453,29.41,0,1942.5,1295.0
0.1875,787.2,0.00426,29.92,0,1926.0,1284.0
0.195,737.9,0.004,30.06,0,1900.5,1267.0
0.2025,607.7,0.00331,30.25,0,1903.5,1269.0
0.21,547.3,0.00299,30.36,0,1906.5,1271.0
0.2175,522.1,0.00285,29.96,0,1902.0,1268.0
0.225,395.0,0.00217,29.89,0,1891.5,1261.0
0.2325,477.0,0.00263,29.9,0,1872.0,1248.0
0.24,476.7,0.00263,30.08,0,1851.0,1234.0
0.2475,388.2,0.00215,29.76,0,1849.5,1233.0
0.255,271.4,0.00151,30.05,0,1830.0,1220.0
0.2625,458.0,0.00256,29.46,0,1810.5,1207.0
0.27,265.2,0.00149,29.06,0,1806.0,1204.0
0.2775,189.3,0.00107,28.85,0,1798.5,1199.0
0.285,131.6,0.00075,27.85,0,1792.5,1195.0
0.2925,228.5,0.00131,28.09,0,1750.5,1167.0
0.3,245.5,0.00141,29.17,0,1734.0,1156.0
0.3075,430.9,0.00248,28.92,0,1717.5,1145.0
0.315,495.0,0.00288,28.3,0,1687.5,1125.0
0.3225,303.8,0.00178,29.07,0,1675.5,1117.0
0.33,276.5,0.00163,29.69,0,1680.0,1120.0
0.3375,139.4,0.00082,30.14,0,1668.0,1112.0
0.345,191.9,0.00114,30.44,0,1645.5,1097.0
0.3525,44.3,0.00027,30.55,0,1620.0,1080.0
0.36,-44.0,-0.00027,30.55,0,1602.0,1068.0
0.3675,274.9,0.00168,29.78,0,1566.0,1044.0
0.375,364.1,0.00224,29.46,0,1542.0,1028.0
0.3825,308.2,0.00191,28.95,0,1522.5,1015.0
0.39,444.7,0.00279,30.11,0,1494.0,996.0
0.3975,280.7,0.00177,30.48,0,1461.0,974.0
0.405,469.0,0.00298,29.78,0,1408.5,939.0
0.4125,355.5,0.00229,30.35,0,1392.0,928.0
0.42,149.9,0.00098,30.19,0,1369.5,913.0
0.4275,156.3,0.00103,30.03,0,1336.5,891.0
0.435,306.9,0.00204,28.62,0,1287.0,858.0
0.4425,-39.3,-0.00027,29.88,0,1248.0,832.0
0.45,-64.6,-0.00045,31.65,0,1189.5,793.0
